Year,ICPSR State Code,Alphanumeric State Code,State,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
1994,64,27,Montana,0.58,0.56,0.56,359455,350387,622246,629335,0.01,1764,0,0,1764,
1994,35,28,Nebraska,0.51,0.5,0.48,593654,579561,1164502,1201826,0.02,2711,18639,771,12802,
1994,65,29,Nevada,0.37,0.37,0.33,386582,380530,1032456,1143487,0.08,6993,9410,3529,15227,
1994,4,30,New Hampshire,0.39,0.38,0.37,319443,311882,829590,851104,0.02,2021,0,0,2021,
1994,12,31,New Jersey,0.4,0.38,0.34,2131328,2054887,5392423,6059401,0.09,24632,125299,41802,129084,
1994,66,32,New Mexico,0.43,0.41,0.39,485709,467621,1128243,1195183,0.05,3712,8063,1078,8822,
1994,13,33,New York,0.44,0.43,0.38,5325323,5203762,12192316,13861352,0.11,66750,0,53832,120582,
1994,47,34,North Carolina,,0.3,0.29,,1588190,5244552,5477604,0.03,23648,90418,20159,89016,
1994,36,35,North Dakota,0.51,0.5,0.5,240430,236547,468989,473993,0.01,563,0,0,563,
1994,24,36,Ohio,0.44,0.42,0.41,3540954,3436884,8132122,8292312,0.01,43074,0,0,43074,
1994,53,37,Oklahoma,0.43,0.43,0.41,1002363,995012,2327519,2410272,0.02,16631,28285,2604,33378,
1994,72,38,Oregon,0.56,0.55,0.52,1254265,1221010,2229242,2344505,0.05,6936,0,0,6936,
1994,14,39,Pennsylvania,,0.4,0.39,,3585526,9043585,9241090,0.02,28302,0,0,28302,
1994,5,40,Rhode Island,,0.51,0.47,,361377,716002,776723,0.06,2919,18179,525,12534,
1994,48,41,South Carolina,0.36,0.35,0.34,951901,934886,2663830,2747987,0.01,18999,40005,6077,45079,
1994,37,42,South Dakota,0.61,0.6,0.59,318090,311613,518815,524910,0.01,1708,0,0,1708,
1994,54,43,Tennessee,,0.39,0.38,,1487130,3850228,3945407,0.01,14401,34896,9353,41202,
1994,49,44,Texas,,0.38,0.33,,4396242,11719888,13334014,0.09,118195,396276,108563,424896,
1994,67,45,Utah,0.43,0.42,0.4,532737,517790,1248726,1302522,0.04,0,0,0,0,
1994,6,46,Vermont,0.51,0.5,0.49,216715,211449,426953,434549,0.02,0,0,0,0,
1994,40,47,Virginia,,0.44,0.41,,2057463,4718968,4983515,0.04,26968,24089,9649,48662,
1994,73,48,Washington,0.47,0.46,0.43,1733471,1700173,3715174,3994036,0.05,10833,110279,1650,67623,
1994,56,49,West Virginia,0.32,0.31,0.3,439551,420936,1379339,1392499,0.01,1930,5992,1380,6306,
1994,25,50,Wisconsin,,0.42,0.41,,1565628,3692668,3801543,0.02,10022,45901,7065,40038,
1994,68,51,Wyoming,0.61,0.6,0.59,204025,201710,337032,344492,0.01,1217,3367,313,3214,
1992,0,0,United States,0,0.58,0.55,,104405155,179655523,190777923,0.06,866945,1648767,491856,2183185,2417648
1992,41,1,Alabama,,0.56,0.55,,1688060,3030549,3096959,0.01,17453,31188,6934,39981,
1992,81,2,Alaska,0.67,0.66,0.64,261427,258506,389898,406653,0.03,2865,3014,710,5082,
